"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"SBUX","NASD","Starbucks Corp","Consumer Cyclical","Restaurants",120226.95,105.49,-2.66%,7633361,7652.44,1.00,-0.49%,3.75%,7.25%,15.73%,25.27%,13.20%,2.78%,12.31%,32.61%,8.81%,20.26%,2.54%,85.26%,4.24%
"TXRH","NASD","Texas Roadhouse Inc","Consumer Cyclical","Restaurants",12950.71,197.03,-0.26%,1184572,1183.11,1.00,3.97%,17.12%,23.18%,4.20%,18.69%,7.91%,2.74%,5.45%,9.57%,12.82%,14.86%,0.88%,102.21%,4.81%
"PANW","NASD","Palo Alto Networks Inc","Technology","Software - Infrastructure",292324.19,358.68,1.32%,7802725,8020.48,0.97,10.05%,28.15%,114.82%,87.86%,94.72%,82.74%,5.05%,12.97%,-159.65%,31.15%,13.16%,11.04%,80.41%,3.10%
"FA","NASD","First Advantage Corp","Industrials","Specialty Business Services",3833.85,22.35,0.18%,2050352,1574.94,1.30,14.38%,33.75%,85.02%,50.40%,53.82%,25.21%,5.28%,17.70%,105.20%,8.63%,19.44%,-1.32%,58.58%,20.66%
"ASH","NYSE","Ashland Inc","Basic Materials","Specialty Chemicals",3142.87,68.64,-0.25%,577083,1029.65,0.56,2.83%,6.32%,19.44%,6.32%,16.99%,31.02%,2.49%,5.55%,-48.91%,0.63%,12.54%,3.68%,110.74%,12.69%
"MAN","NYSE","ManpowerGroup","Industrials","Staffing & Employment Services",2434.19,52.34,1.34%,3347111,1160.24,2.88,35.21%,53.00%,68.84%,71.38%,76.05%,17.99%,7.76%,22.11%,178.22%,7.54%,30.24%,-3.53%,115.02%,14.77%
"MO","NYSE","Altria Group Inc","Consumer Defensive","Tobacco",123922.63,74.21,1.62%,8608458,8567.22,1.00,3.37%,5.73%,14.27%,20.73%,28.70%,27.99%,2.50%,4.95%,105.23%,5.29%,4.22%,-0.26%,64.43%,3.09%
"PM","NYSE","Philip Morris International Inc","Consumer Defensive","Tobacco",300770.68,192.98,1.65%,5203086,4989.38,1.04,6.25%,4.85%,23.52%,12.80%,20.31%,7.71%,3.14%,11.14%,-9.47%,9.46%,9.88%,-0.14%,84.96%,1.17%
"WERN","NASD","Werner Enterprises Inc","Industrials","Trucking",2760.10,46.04,0.11%,1625168,1067.18,1.52,4.99%,9.31%,41.71%,39.14%,53.42%,63.09%,2.94%,5308.55%,56.43%,13.55%,,-0.66%,108.51%,7.45%
"D","NYSE","Dominion Energy Inc","Utilities","Utilities - Regulated Electric",62480.57,71.04,-0.91%,4492356,7124.81,0.63,1.37%,3.71%,13.70%,17.91%,21.25%,23.31%,1.73%,4.93%,-6.98%,25.01%,5.95%,-2.90%,82.21%,3.07%
"EIX","NYSE","Edison International","Utilities","Utilities - Regulated Electric",29871.55,77.63,-0.54%,2483774,2553.29,0.97,3.23%,7.73%,8.42%,25.98%,29.34%,51.24%,2.55%,-6.49%,-63.09%,7.66%,1.81%,-0.95%,95.60%,3.56%
"OGE","NYSE","Oge Energy Corp","Utilities","Utilities - Regulated Electric",10050.43,48.70,-1.26%,1020333,1457.30,0.70,0.10%,1.73%,0.16%,12.01%,14.05%,10.41%,2.04%,4.68%,-21.99%,0.66%,6.65%,-0.97%,78.66%,4.44%
"PNW","NYSE","Pinnacle West Capital Corp","Utilities","Utilities - Regulated Electric",13055.49,107.73,-1.43%,1377594,1203.76,1.14,-0.36%,3.74%,3.42%,16.72%,21.45%,17.67%,2.06%,-5.86%,785.57%,11.36%,6.75%,3.28%,105.41%,7.50%
