"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"BBNX","NASD","Beta Bionics Inc","Healthcare","Medical Devices",813.41,18.08,4.33%,1503074,1089.09,1.38,28.14%,7.24%,87.75%,28.05%,-40.66%,19.74%,8.78%,-18.27%,-35.38%,37.76%,2.75%,-3.12%,102.98%,22.57%,14.30%,16.63%,4.29%,4.33%
"MDB","NASD","MongoDB Inc","Technology","Software - Infrastructure",37987.20,472.29,7.87%,2153825,1979.11,1.09,27.65%,41.81%,55.87%,29.59%,12.53%,127.69%,5.50%,23.06%,111.72%,25.25%,22.45%,-1.27%,93.46%,3.36%,33.05%,35.92%,40.11%,6.37%
"BCAR","NASD","D. Boral ARC Acquisition I Corp","Financial","Shell Companies",245.80,6.06,10.18%,241360,573.11,0.42,27.58%,-41.67%,-41.62%,-40.18%,-39.58%,,19.41%,,48900.00%,,,,66.62%,0.26%,-9.56%,-32.71%,-38.77%,17.90%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",7576.43,58.15,0.69%,2865841,3258.01,0.88,27.52%,27.10%,175.98%,203.66%,256.53%,328.52%,10.27%,-112.61%,-149.75%,-12.65%,-6.20%,0.28%,96.77%,13.43%,18.14%,40.93%,131.18%,1.50%
"CBLL","NASD","Ceribell Inc","Healthcare","Medical Devices",892.29,23.25,1.48%,499117,379.17,1.32,27.40%,19.85%,29.82%,13.03%,6.02%,95.21%,7.74%,-35.15%,-34.77%,32.54%,4.37%,8.07%,65.45%,8.08%,24.66%,23.68%,23.72%,1.09%
"CRSR","NASD","Corsair Gaming Inc","Technology","Computer Hardware",1454.98,13.45,4.10%,2191642,2798.68,0.78,26.77%,41.88%,81.27%,171.17%,126.43%,43.85%,10.85%,43.80%,138.92%,-1.80%,11.26%,1.80%,38.76%,25.33%,20.29%,35.65%,86.50%,4.43%
"DXYZ","NYSE","Destiny Tech100 Inc","Financial","Asset Management",972.60,31.92,4.11%,2198354,3541.13,0.62,26.62%,20.32%,-38.85%,3.67%,4.21%,9.84%,9.06%,,136.77%,-13.60%,,,10.45%,2.42%,26.73%,15.03%,4.40%,2.50%
"IMC","AMEX","IMC Rare Earths Ltd","Basic Materials","Other Industrial Metals & Mining",,10.10,26.25%,259036,585.47,0.44,26.25%,,,,94.98%,,13.26%,,,,,,,,40.12%,40.12%,40.12%,26.25%
"ONTO","NYSE","Onto Innovation Inc","Technology","Semiconductor Equipment & Materials",16578.26,337.82,0.14%,933601,1344.43,0.69,25.72%,10.86%,21.97%,51.88%,114.00%,203.09%,6.88%,63.72%,74.86%,35.30%,39.28%,2.94%,102.15%,5.43%,19.72%,12.89%,47.76%,0.97%
"STLN","NASD","Starling Oncology Inc","Healthcare","Medical Care Facilities",625.89,6.26,-0.95%,1074184,1980.23,0.54,25.45%,10.60%,53.43%,138.93%,75.84%,52.68%,8.60%,70.00%,46.70%,34.62%,,1.56%,37.78%,11.49%,15.79%,16.96%,59.66%,-0.95%
